year	population	yearlyDifference	yearlyMigrants	migrants	medianAge	fertilityRate	density	urbanPopPercentage	urbanPop	worldPopPercentage	worldPop	globalRank
2019	32,454,455	1.29%	411,997	50,000	28.1	2.09	99	77.10%	25,029,766	0.42%	7,714,576,923	45
2018	32,042,458	1.32%	418,194	50,000	28.1	2.09	98	76.50%	24,509,005	0.42%	7,632,819,325	45
2017	31,624,264	1.40%	436,999	50,000	28.1	2.09	96	75.80%	23,981,117	0.42%	7,550,262,101	45
2016	31,187,265	1.51%	464,110	50,000	28.1	2.09	95	75.20%	23,444,458	0.42%	7,466,964,280	45
2015	30,723,155	1.79%	522,173	156,330	27.7	2.11	94	74.50%	22,898,099	0.42%	7,383,008,820	45
2010	28,112,289	1.84%	490,579	142,259	26	2.22	86	71.30%	20,050,923	0.40%	6,958,169,159	44
2005	25,659,393	2.05%	494,757	129,107	25	2.45	78	67.10%	17,210,135	0.39%	6,542,159,383	43
2000	23,185,608	2.50%	538,002	98,944	23.8	3.13	71	62.60%	14,515,387	0.38%	6,145,006,989	44
1995	20,495,597	2.59%	491,455	59,762	22.5	3.44	62	56.30%	11,541,559	0.36%	5,751,474,416	46
1990	18,038,321	2.95%	487,876	87,082	21.6	3.67	55	50.30%	9,068,005	0.34%	5,330,943,460	45
1985	15,598,942	2.48%	360,163	-14,274	20.5	3.97	47	46.40%	7,234,794	0.32%	4,873,781,796	48
1980	13,798,125	2.56%	327,151	-1,390	19.5	4.2	42	42.20%	5,816,219	0.31%	4,458,411,534	49
1975	12,162,369	2.40%	271,678	-26,302	18.6	4.72	37	38.10%	4,635,637	0.30%	4,079,087,198	49
1970	10,803,978	2.55%	255,483	-26,940	17.6	5.38	33	33.80%	3,649,380	0.29%	3,700,577,650	49
1965	9,526,563	3.15%	273,891	-4,330	18.5	6.35	29	30.00%	2,862,596	0.29%	3,339,592,688	56
1960	8,157,106	2.99%	223,477	-11,264	17.6	6.38	25	26.60%	2,170,621	0.27%	3,033,212,527	53
1955	7,039,719	2.87%	185,961	-4,330	18.5	6.35	21	23.30%	1,642,973	0.25%	2,772,242,535	56
